Tract_ID,fipscode,State,County,Urban_Status,LowFoodAccess,Total_Population,LowAccess_Pop,LowIncome_Pop,LowIncome&_LowAccess_Pop,NoVehicle_HHs,SNAP_HHs,Poverty_Rate,Median_Income,LowAccess_Ratio,LowIncome&_LowAccess_Ratio,Pct_LowIncome_,NoVehicle_HHs_Ratio,SNAP_Participatio_Rate,premature_death,poor_health,low_birthweight,obesity,diabetes,unemployment,child_poverty,income_inequality
1001020100,1001,Alabama,Autauga County,Urban,NO,1912,1896.0,455.0,461.0,6.0,102.0,11.3,81250.0,0.99163179916318,1.0131868131868131,0.2379707112970711,0.0031380753138075,0.053347280334728,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020200,1001,Alabama,Autauga County,Urban,YES,2170,1261.0,802.0,604.0,89.0,156.0,17.9,49000.0,0.5811059907834102,0.7531172069825436,0.3695852534562212,0.0410138248847926,0.0718894009216589,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020300,1001,Alabama,Autauga County,Urban,NO,3373,1552.0,1306.0,478.0,99.0,172.0,15.0,62609.0,0.4601245182330269,0.3660030627871363,0.387192410317225,0.0293507263563593,0.0509931811443818,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020400,1001,Alabama,Autauga County,Urban,NO,4386,1363.0,922.0,343.0,21.0,98.0,2.8,70607.0,0.3107615139078887,0.3720173535791757,0.2102143182854537,0.0047879616963064,0.02234382124943,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020500,1001,Alabama,Autauga County,Urban,NO,10766,2643.0,2242.0,586.0,230.0,339.0,15.2,96334.0,0.2454950770945569,0.2613737734165923,0.208248188742337,0.0213635519227196,0.0314880178339216,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020600,1001,Alabama,Autauga County,Urban,YES,3668,3438.0,1659.0,1585.0,71.0,224.0,21.6,69521.0,0.9372955288985824,0.95539481615431,0.4522900763358778,0.0193565976008724,0.0610687022900763,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020700,1001,Alabama,Autauga County,Urban,YES,2891,1231.0,2175.0,742.0,34.0,390.0,30.5,39875.0,0.425804219993082,0.3411494252873563,0.7523348322379799,0.011760636457973,0.1349014181943964,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020801,1001,Alabama,Autauga County,Rural,NO,3081,0.0,527.0,0.0,68.0,143.0,8.9,89423.0,0.0,0.0,0.1710483609217786,0.0220707562479714,0.0464135021097046,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020802,1001,Alabama,Autauga County,Rural,NO,10435,74.0,3103.0,26.0,198.0,352.0,13.7,84833.0,0.007091518926689,0.0083789880760554,0.2973646382367034,0.0189746046957355,0.0337326305701964,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
1001020900,1001,Alabama,Autauga County,Rural,NO,5675,67.0,1612.0,25.0,97.0,340.0,9.8,77865.0,0.011806167400881,0.0155086848635235,0.2840528634361233,0.0170925110132158,0.0599118942731277,9778.1,0.2586,0.0883,0.3,0.8149,0.046,0.138,40.7
