fipscode,State,County,premature_death,poor_health,low_birthweight,obesity,diabetes,food_access,unemployment,child_poverty,income_inequality
0,,United States,7261.2,0.1601,0.0794,0.263,0.7983,0.395673412,0.058,0.18,46.5
1000,Alabama,Alabama,10150.4,0.2003,0.1011,0.309,0.7759,0.391408115,0.05,0.236,47.1
1001,Alabama,Autauga County,9778.1,0.2586,0.0883,0.3,0.8149,0.25,0.046,0.138,40.7
1003,Alabama,Baldwin County,8221.7,0.1338,0.0877,0.245,0.7916,0.423076923,0.041,0.153,44.5
1005,Alabama,Barbour County,10686.1,0.2442,0.11,0.364,0.7968,0.4,0.078,0.341,47.4
1007,Alabama,Bibb County,13069.5,0.1817,0.0911,0.317,0.7453,0.5,0.052,0.242,39.8
1009,Alabama,Blount County,8929.7,0.2493,0.0726,0.315,0.7686,0.571428571,0.041,0.185,41.1
1011,Alabama,Bullock County,15080.6,,0.1328,0.373,0.7889,0.25,0.096,0.387,47.2
1013,Alabama,Butler County,13492.3,0.2196,0.1066,0.355,0.7037,0.4,0.077,0.342,43.9
1015,Alabama,Calhoun County,11526.2,0.2456,0.0935,0.332,0.7759,0.5,0.051,0.247,45.5
1017,Alabama,Chambers County,10379.7,,0.1004,0.357,0.7806,0.75,0.132,0.246,40.2
1019,Alabama,Cherokee County,11164.4,0.3151,0.0872,0.307,0.8314,0.4,0.052,0.291,44.4
1021,Alabama,Chilton County,12533.8,0.2322,0.0987,0.339,0.8231,0.857142857,0.045,0.243,45.5
1023,Alabama,Choctaw County,10827.4,0.2496,0.1149,0.361,0.8603,0.2,0.075,0.296,47.7
1025,Alabama,Clarke County,10108.2,0.2828,0.105,0.351,0.6683,0.333333333,0.082,0.309,52.4
1027,Alabama,Clay County,10353.6,0.2648,0.0928,0.316,0.599,0.333333333,0.071,0.228,42.0
1029,Alabama,Cleburne County,10690.6,0.2459,0.09,0.293,0.7718,0.4,0.045,0.227,42.6
1031,Alabama,Coffee County,9004.7,0.2032,0.0913,0.325,0.8007,0.333333333,0.043,0.232,44.7
1033,Alabama,Colbert County,10145.0,0.2009,0.1121,0.357,0.8209,0.5,0.058,0.239,43.5
1035,Alabama,Conecuh County,12893.3,0.1701,0.1219,0.326,0.5984,0.166666667,0.084,0.366,47.5
1037,Alabama,Coosa County,13313.0,0.229,0.1143,0.345,0.8431,0.0,0.074,0.232,44.1
1039,Alabama,Covington County,10992.5,0.2238,0.088,0.316,0.7308,0.333333333,0.053,0.311,45.8
1041,Alabama,Crenshaw County,9564.5,0.2645,0.0932,0.346,0.7347,0.25,0.05,0.254,46.5
1043,Alabama,Cullman County,9687.6,0.2119,0.0869,0.294,0.8046,0.538461539,0.043,0.193,45.6
1045,Alabama,Dale County,9254.7,0.2611,0.0852,0.331,0.8041,0.444444444,0.048,0.241,41.4
1047,Alabama,Dallas County,14642.6,0.2486,0.1192,0.412,0.6674,0.555555556,0.101,0.42,50.5
1049,Alabama,DeKalb County,9667.1,0.2165,0.0922,0.317,0.7877,0.357142857,0.052,0.261,45.8
1051,Alabama,Elmore County,9183.9,0.1777,0.0914,0.285,0.7677,0.5,0.046,0.162,40.3
1053,Alabama,Escambia County,11908.0,0.2523,0.1097,0.352,0.7329,0.285714286,0.068,0.306,45.1
1055,Alabama,Etowah County,11597.6,0.2098,0.0898,0.325,0.7642,0.583333333,0.053,0.245,42.9
1057,Alabama,Fayette County,11636.7,0.3152,0.0876,0.33,0.7306,0.4,0.065,0.229,42.8
1059,Alabama,Franklin County,10745.3,0.2474,0.0835,0.298,0.8063,0.571428571,0.067,0.289,41.3
1061,Alabama,Geneva County,9895.4,0.2651,0.0831,0.323,0.7638,0.444444444,0.048,0.299,45.5
1063,Alabama,Greene County,14705.1,0.195,0.1394,0.435,0.7397,0.166666667,0.076,0.435,53.5
1065,Alabama,Hale County,11566.4,0.258,0.1157,0.386,0.7465,0.6,0.066,0.335,46.1
1067,Alabama,Henry County,11469.2,0.1769,0.1035,0.333,0.8612,0.4,0.069,0.276,45.3
1069,Alabama,Houston County,8718.4,0.206,0.0836,0.33,0.8502,0.416666667,0.043,0.247,47.1
1071,Alabama,Jackson County,11120.5,0.2368,0.0925,0.308,0.7177,0.315789474,0.055,0.234,44.3
1073,Alabama,Jefferson County,10811.5,0.1653,0.1118,0.311,0.7871,0.377358491,0.048,0.216,49.0
1075,Alabama,Lamar County,8881.2,0.2511,0.0869,0.298,0.6756,0.5,0.073,0.255,44.0
1077,Alabama,Lauderdale County,8790.0,0.1987,0.1022,0.301,0.8244,0.545454546,0.051,0.253,46.5
1079,Alabama,Lawrence County,11612.8,0.2609,0.0888,0.321,0.798,0.6,0.058,0.216,37.9
1081,Alabama,Lee County,7790.0,0.1781,0.0812,0.302,0.7868,0.333333333,0.046,0.185,47.3
1083,Alabama,Limestone County,8850.9,0.1612,0.0908,0.277,0.8367,0.25,0.042,0.173,42.6
1085,Alabama,Lowndes County,14888.3,,0.1242,0.403,0.7593,0.2,0.099,0.433,50.3
1087,Alabama,Macon County,13670.8,0.2029,0.1152,0.402,0.7311,0.285714286,0.067,0.38,49.7
1089,Alabama,Madison County,8063.6,0.1366,0.0985,0.309,0.7703,0.378378378,0.037,0.164,44.4
1091,Alabama,Marengo County,11361.7,0.2984,0.1184,0.37,0.6268,0.181818182,0.067,0.281,51.6
1093,Alabama,Marion County,12385.3,0.2341,0.0852,0.293,0.851,0.833333333,0.072,0.296,45.9
1095,Alabama,Marshall County,10774.0,0.1936,0.0849,0.274,0.772,0.666666667,0.042,0.303,46.8
1097,Alabama,Mobile County,10753.8,0.2195,0.1153,0.299,0.7631,0.448275862,0.051,0.307,47.6
1099,Alabama,Monroe County,10013.6,0.1915,0.1268,0.362,0.7375,0.285714286,0.092,0.32,48.2
1101,Alabama,Montgomery County,10136.4,0.1788,0.1108,0.33,0.7785,0.25,0.053,0.275,49.6
1103,Alabama,Morgan County,9144.9,0.1475,0.091,0.35,0.8094,0.615384615,0.047,0.205,44.5
1105,Alabama,Perry County,15808.0,,0.1417,0.402,0.621,0.5,0.102,0.464,47.0
1107,Alabama,Pickens County,10915.4,0.2197,0.1098,0.353,0.8351,0.5,0.064,0.304,46.5
1109,Alabama,Pike County,11704.7,0.2103,0.1034,0.367,0.7382,0.333333333,0.043,0.355,52.5
1111,Alabama,Randolph County,11203.1,0.1513,0.1043,0.317,0.7539,0.4,0.066,0.289,43.0
1113,Alabama,Russell County,12358.0,0.2123,0.1071,0.348,0.7298,0.3,0.071,0.327,44.3
1115,Alabama,St. Clair County,9973.0,0.2303,0.0905,0.339,0.7876,0.384615385,0.045,0.171,39.2
1117,Alabama,Shelby County,6603.8,0.1148,0.0797,0.281,0.815,0.52631579,0.033,0.09,43.1
1119,Alabama,Sumter County,13296.7,0.2472,0.1284,0.4,0.7308,0.25,0.078,0.466,49.2
